Subject,Channel,Method,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,FC3,ASR_offline_20,1.333215619442626,-0.6901759210343261,6.72363082659187e-06,0.8087585956259223,0.8366633305524243,0.0556685809455584,0.7759206364589796,0.0106180452356378,0.8603956060777117,0.02954539395953,0.9663286931756508,0.0336970432789078,0.8488496958711351,0.0621349768618185,0.7730425686067312,real-erp,160.0
sub-1,FC4,ASR_offline_20,1.071804347443546,0.1895139153664997,1.0170858868848568e-05,0.8204920094243748,0.8461953888259915,0.0536204852306954,0.6483217504060185,0.014195206164247,0.669366885008166,0.0309548929539246,0.9210368418434352,0.0351288599285637,0.8095071875521801,0.0636417244203032,0.8162801041234594,real-erp,160.0
sub-1,FCz,ASR_offline_20,0.8235796582543529,-0.4081603236742235,3.18935917698517e-06,0.9205204466519892,1.4586582670181587,0.0123627361958799,0.922090860958306,0.0089895124386326,0.9757989748393832,0.03561483573347,0.9922242625738298,0.0156755002531132,0.9127498119260132,0.0412915841148694,0.8187619912317288,real-erp,160.0
sub-1,FP1,ASR_offline_20,-0.1528939011965189,0.0344477858275791,1.6693106510954185e-05,0.8389554910117593,1.1083227772889646,0.0227282797648431,0.7632516512891989,0.0171356208794581,0.6478049584794124,0.0177229923500367,0.8457254182275398,0.0017143147063147,0.7732674950862065,0.0104160187583371,0.7296150012445195,real-erp,160.0
sub-1,FP2,ASR_offline_20,1.6127783550242665,-1.526561041406021,2.133920893121505e-05,0.8140269872054776,1.0155787150277795,0.0119026844331,0.6969788312139684,0.0214079335603737,0.5554303932438487,0.0209548609991316,0.789405844534927,0.0144697147936874,0.7818528253415029,0.0397957641989179,0.7624831516489092,real-erp,160.0
sub-1,Fz,ASR_offline_20,0.7222930216765953,-0.4207763158431437,3.780664592860859e-06,0.9250713657492088,1.5484876616144578,0.0090944276751476,0.8957456561404181,0.0092258054281683,0.9468477098765644,0.0279311692960662,0.9879203199865172,0.0062051588149723,0.9300139148151906,0.0218573882341146,0.8564330844516425,real-erp,160.0
sub-1,O1,ASR_offline_20,2.38307073771651,-1.7346559132818502,8.544189168016395e-06,0.7965218107939657,0.851979923426518,0.010455199528595,0.831029319869149,0.0100027474955576,0.8870818340673109,0.0352131204001294,0.975976339790538,0.0029292503659538,0.7582101399431942,0.0318314180011381,0.5477893577449582,real-erp,160.0
sub-1,O2,ASR_offline_20,3.872775021489634,-3.108469506549985,1.1257601906346878e-05,0.6973166617438542,0.6810166198014204,0.0340310791668203,0.7875521214378681,0.0171314493977716,0.8096751889737678,0.0545277293347683,0.9615832726090175,0.0138319370731007,0.6180991031496081,0.0918583208262596,0.3356590109015896,real-erp,160.0
sub-1,Oz,ASR_offline_20,2.372101728368857,-1.9310023624546844,1.7718297574519708e-05,0.657471814086551,0.7427869621167316,0.1575047620914427,0.4448837374348206,0.0224458177162825,0.4621517758949681,0.0945282213433773,0.8305926853884975,0.0288292809165734,0.6546445239130969,0.0117014421152094,0.5230301127344948,real-erp,160.0
sub-1,P10,ASR_offline_20,0.7682629165285189,-0.7379514971075416,6.65384096778611e-06,0.832289126242128,1.0357690903701684,0.0169699450167337,0.8433055800057627,0.0124658990163449,0.8929849116021726,0.0310312297846975,0.973205952648758,0.0017562413093806,0.7575308937105706,0.0282834250936894,0.4178400183981237,real-erp,160.0
sub-1,P3,ASR_offline_20,1.3265758957558589,-1.4149076222969637,4.899184933241237e-06,0.8179870110167288,0.953833584330838,0.006127437264368,0.8416431741555199,0.0089655787179445,0.919066163554082,0.049170364810584,0.9849328139399632,0.0073593610074224,0.7811106676719725,0.0446491452567379,0.5100414907068236,real-erp,160.0
sub-1,P4,ASR_offline_20,4.123154626708235,-1.4699528987578008,9.63618996907133e-06,0.6679680406164712,0.6484244665160454,0.0401146743561784,0.8069137234158198,0.0186917082185828,0.8147195062689733,0.1147492020460611,0.9676144437341424,0.0233536807310081,0.6534717596981482,0.1502019038898144,0.4049334785493861,real-erp,160.0
sub-1,P7,ASR_offline_20,4.231217243959765,-4.145201951587811,1.3060969251563369e-05,0.5924529491055647,0.397911663734517,0.0709812080387307,0.7873260188961612,0.0229707413960113,0.8651519125637839,0.0744255527389029,0.9542424794802032,0.0220283170730063,0.6158181241374351,0.1463491851006385,0.3567680181594817,real-erp,160.0
